,President,year,Approving ,Disapproving ,unsure/no data,f_count,f_name,l_count,l_name,total
0,Franklin D. Roosevelt,1941.0,67.71428571428571,24.142857142857142,6.571428571428571,2189,Franklin,627,Roosevelt,2288235
1,Franklin D. Roosevelt,1942.0,76.22222222222223,14.555555555555555,7.333333333333333,2347,Franklin,581,Roosevelt,2576573
2,Franklin D. Roosevelt,1943.0,71.5,18.0,8.5,1959,Franklin,592,Roosevelt,2664927
3,Harry S. Truman,1945.0,83.0,6.25,9.0,5648,Harry,505,Truman,2501963
4,Harry S. Truman,1946.0,43.125,42.0,13.75,6028,Harry,238,Truman,3032350
5,Harry S. Truman,1947.0,57.0,27.0,14.777777777777779,6508,Harry,165,Truman,3427532
6,Harry S. Truman,1948.0,37.333333333333336,46.333333333333336,15.0,5945,Harry,125,Truman,3280438
7,Harry S. Truman,1949.0,54.166666666666664,28.333333333333332,16.333333333333332,5538,Harry,123,Truman,3312353
8,Harry S. Truman,1950.0,38.5,43.642857142857146,16.357142857142858,5373,Harry,65,Truman,3330666
9,Harry S. Truman,1951.0,25.5,58.6,13.8,5299,Harry,43,Truman,3504403
10,Harry S. Truman,1952.0,28.636363636363637,58.54545454545455,10.727272727272727,4991,Harry,32,Truman,3617370
11,Dwight D. Eisenhower,1953.0,68.27272727272727,13.818181818181818,15.363636363636363,2684,Dwight,0,Eisenhower,3665807
12,Dwight D. Eisenhower,1954.0,64.8125,21.25,12.0,2026,Dwight,0,Eisenhower,3790625
13,Dwight D. Eisenhower,1955.0,70.26666666666667,15.4,12.666666666666666,2136,Dwight,0,Eisenhower,3821699
14,Dwight D. Eisenhower,1956.0,72.41666666666667,15.75,10.083333333333334,2346,Dwight,0,Eisenhower,3926008
15,Dwight D. Eisenhower,1957.0,63.46666666666667,21.466666666666665,13.066666666666666,2017,Dwight,0,Eisenhower,4002231
16,Dwight D. Eisenhower,1958.0,53.46666666666667,29.733333333333334,14.266666666666667,1681,Dwight,0,Eisenhower,3933693
17,Dwight D. Eisenhower,1959.0,62.76923076923077,21.76923076923077,14.0,1577,Dwight,0,Eisenhower,3955363
18,Dwight D. Eisenhower,1960.0,61.0,25.11111111111111,12.5,1708,Dwight,0,Eisenhower,3948284
19,John F. Kennedy,1961.0,75.57142857142857,9.142857142857142,13.928571428571429,80139,John,146,Kennedy,3929909
20,John F. Kennedy,1962.0,71.0,16.076923076923077,11.615384615384615,78681,John,53,Kennedy,3826131
21,John F. Kennedy,1963.0,63.166666666666664,23.416666666666668,12.0,78867,John,122,Kennedy,3747914
22,Lyndon B. Johnson,1963.0,75.0,3.0,20.5,127,Lyndon,6,Johnson,3747914
23,Lyndon B. Johnson,1964.0,74.23076923076923,10.538461538461538,13.384615384615385,466,Lyndon,12,Johnson,3674865
24,Lyndon B. Johnson,1965.0,65.82352941176471,20.058823529411764,12.529411764705882,259,Lyndon,5,Johnson,3420034
25,Lyndon B. Johnson,1966.0,51.0,33.875,13.6875,114,Lyndon,0,Johnson,3268132
26,Lyndon B. Johnson,1967.0,42.8235294117647,41.529411764705884,14.058823529411764,32,Lyndon,5,Johnson,3184540
27,Lyndon B. Johnson,1968.0,42.07692307692308,44.84615384615385,11.615384615384615,34,Lyndon,6,Johnson,3160072
28,Lyndon B. Johnson,1969.0,49.0,37.0,14.0,42,Lyndon,0,Johnson,3245564
29,Richard Nixon,1969.0,58.7,17.5,22.25,31201,Richard,0,Nixon,3245564
30,Richard Nixon,1970.0,55.5,28.27777777777778,14.722222222222221,30564,Richard,0,Nixon,3359931
31,Richard Nixon,1971.0,47.42857142857143,35.5,15.571428571428571,26235,Richard,0,Nixon,3177813
32,Richard Nixon,1972.0,55.7,32.7,10.1,22407,Richard,0,Nixon,2890397
33,Richard Nixon,1973.0,41.73684210526316,46.10526315789474,10.631578947368421,20028,Richard,0,Nixon,2759517
34,Gerald R. Ford,1974.0,53.375,25.5,19.75,2403,Gerald,0,Ford,2774144
35,Richard Nixon,1974.0,25.294117647058822,60.8235294117647,12.470588235294118,18691,Richard,0,Nixon,2774144
36,Gerald R. Ford,1975.0,42.55,40.15,15.9,2393,Gerald,0,Ford,2744651
37,Gerald R. Ford,1976.0,47.875,38.25,12.75,2127,Gerald,0,Ford,2754069
38,Jimmy Carter,1977.0,61.958333333333336,19.416666666666668,17.416666666666668,2612,Jimmy,53,Carter,2882671
39,Jimmy Carter,1978.0,44.833333333333336,37.708333333333336,16.083333333333332,2155,Jimmy,25,Carter,2877289
40,Jimmy Carter,1979.0,36.34615384615385,48.96153846153846,13.115384615384615,2216,Jimmy,19,Carter,3018685
41,Jimmy Carter,1980.0,40.23529411764706,48.0,10.294117647058824,2189,Jimmy,39,Carter,3130096
42,Ronald Reagan,1981.0,56.8235294117647,28.11764705882353,13.588235294117647,5545,Ronald,76,Reagan,3145554
43,Ronald Reagan,1982.0,43.36842105263158,45.31578947368421,9.842105263157896,5201,Ronald,32,Reagan,3192364
44,Ronald Reagan,1983.0,43.25,45.25,10.0,4702,Ronald,33,Reagan,3153008
45,Ronald Reagan,1984.0,53.96,35.44,9.08,4516,Ronald,33,Reagan,3176106
46,Ronald Reagan,1985.0,60.8,28.65,9.15,4296,Ronald,34,Reagan,3245530
47,Ronald Reagan,1986.0,62.05882352941177,27.058823529411764,9.294117647058824,4233,Ronald,32,Reagan,3227500
48,Ronald Reagan,1987.0,48.95454545454545,40.40909090909091,9.181818181818182,4155,Ronald,38,Reagan,3265895
49,Ronald Reagan,1988.0,53.125,35.75,9.75,4169,Ronald,57,Reagan,3340519
50,George Bush,1989.0,62.111111111111114,17.40740740740741,19.25925925925926,4510,George,0,Bush,3475179
51,George Bush,1990.0,65.23255813953489,22.767441860465116,10.627906976744185,4561,George,0,Bush,3566331
52,George Bush,1991.0,73.30434782608695,18.152173913043477,7.108695652173913,4172,George,0,Bush,3502689
53,George Bush,1992.0,38.78048780487805,52.073170731707314,7.560975609756097,3890,George,0,Bush,3442170
54,George Bush,1993.0,56.0,37.0,7.0,3512,George,0,Bush,3363860
55,William J. Clinton,1993.0,48.03703703703704,40.44444444444444,10.074074074074074,86,Bill,816,Clinton,3363860
56,William J. Clinton,1994.0,46.13793103448276,45.58620689655172,6.862068965517241,61,Bill,551,Clinton,3307185
57,William J. Clinton,1995.0,46.857142857142854,42.76190476190476,8.857142857142858,59,Bill,444,Clinton,3249146
58,William J. Clinton,1996.0,53.77272727272727,38.0,7.181818181818182,57,Bill,355,Clinton,3224919
59,William J. Clinton,1997.0,57.45,33.05,8.15,66,Bill,385,Clinton,3193018
60,William J. Clinton,1998.0,63.1,31.3,4.25,47,Bill,262,Clinton,3229407
61,William J. Clinton,1999.0,61.35897435897436,34.12820512820513,3.3333333333333335,50,Bill,212,Clinton,3233110
62,William J. Clinton,2000.0,59.82142857142857,35.17857142857143,3.642857142857143,73,Bill,254,Clinton,3296850
63,George W. Bush,2001.0,66.06060606060606,23.90909090909091,8.696969696969697,3077,George,0,Bush,3250984
64,William J. Clinton,2001.0,64.5,30.0,4.5,60,Bill,200,Clinton,3250984
65,George W. Bush,2002.0,71.775,21.725,4.975,3006,George,0,Bush,3238053
66,George W. Bush,2003.0,60.333333333333336,34.51282051282051,3.717948717948718,2905,George,0,Bush,3288978
67,George W. Bush,2004.0,50.34285714285714,45.51428571428571,2.6285714285714286,2733,George,0,Bush,3293984
68,George W. Bush,2005.0,45.3421052631579,50.0,3.289473684210526,2810,George,0,Bush,3305315
69,George W. Bush,2006.0,37.9,57.8,4.333333333333333,2692,George,0,Bush,3387737
70,George W. Bush,2007.0,33.53846153846154,62.19230769230769,4.230769230769231,2749,George,0,Bush,3412417
71,George W. Bush,2008.0,29.964285714285715,65.32142857142857,4.714285714285714,2541,George,0,Bush,3340318
72,Barack Obama,2009.0,57.625,33.923780487804876,8.454268292682928,27,Barack,0,Obama,3232116
73,George W. Bush,2009.0,34.0,61.0,5.0,2367,George,0,Bush,3232116
74,Barack Obama,2010.0,46.85919540229885,45.775862068965516,7.367816091954023,0,Barack,0,Obama,3116548
75,Barack Obama,2011.0,44.67908309455587,47.191977077363894,8.097421203438396,0,Barack,0,Obama,3079145
76,Barack Obama,2012.0,47.566473988439306,45.58670520231214,6.864161849710983,0,Barack,0,Obama,3073858
77,Barack Obama,2013.0,46.484330484330485,46.39316239316239,7.128205128205129,0,Barack,0,Obama,3066443
78,Barack Obama,2014.0,42.36494252873563,51.98850574712644,5.649425287356322,0,Barack,0,Obama,3113611
79,Barack Obama,2015.0,46.18857142857143,49.14,4.688571428571429,0,Barack,0,Obama,0
80,Barack Obama,2008.0,,,,21,Barack,0,Obama,3340318
81,George W. Bush,2000.0,,,,3024,George,0,Bush,3296850
82,William J. Clinton,1992.0,,,,80,Bill,1454,Clinton,3442170
83,George Bush,1988.0,,,,4283,George,0,Bush,3340519
84,Ronald Reagan,1980.0,,,,5768,Ronald,116,Reagan,3130096
85,Ronald Reagan,1989.0,,,,4100,Ronald,49,Reagan,3475179
86,Jimmy Carter,1976.0,,,,2480,Jimmy,104,Carter,2754069
87,Jimmy Carter,1981.0,,,,2061,Jimmy,46,Carter,3145554
88,Gerald R. Ford,1973.0,,,,2590,Gerald,0,Ford,2759517
89,Gerald R. Ford,1977.0,,,,2032,Gerald,0,Ford,2882671
90,Richard Nixon,1968.0,,,,33107,Richard,0,Nixon,3160072
91,Lyndon B. Johnson,1962.0,,,,82,Lyndon,11,Johnson,3826131
92,John F. Kennedy,1960.0,,,,76302,John,85,Kennedy,3948284
93,Dwight D. Eisenhower,1952.0,,,,2400,Dwight,0,Eisenhower,3617370
94,Dwight D. Eisenhower,1961.0,,,,1650,Dwight,0,Eisenhower,3929909
95,Harry S. Truman,1944.0,,,,5478,Harry,147,Truman,2537120
96,Harry S. Truman,1953.0,,,,4567,Harry,21,Truman,3665807
97,Franklin D. Roosevelt,1932.0,,,,2756,Franklin,816,Roosevelt,1964421
98,Franklin D. Roosevelt,1933.0,,,,5355,Franklin,1187,Roosevelt,1857674
99,Franklin D. Roosevelt,1934.0,,,,4144,Franklin,985,Roosevelt,1933466
100,Franklin D. Roosevelt,1935.0,,,,2601,Franklin,736,Roosevelt,1946981
101,Franklin D. Roosevelt,1936.0,,,,2933,Franklin,716,Roosevelt,1936249
102,Franklin D. Roosevelt,1937.0,,,,2509,Franklin,652,Roosevelt,1986759
103,Franklin D. Roosevelt,1938.0,,,,1994,Franklin,631,Roosevelt,2068294
104,Franklin D. Roosevelt,1939.0,,,,1829,Franklin,567,Roosevelt,2059878
105,Franklin D. Roosevelt,1940.0,,,,2375,Franklin,608,Roosevelt,2157632
106,Franklin D. Roosevelt,1944.0,,,,1798,Franklin,541,Roosevelt,2537120
107,Franklin D. Roosevelt,1945.0,,,,1874,Franklin,539,Roosevelt,2501963
